,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Step1,step_Step50+sbeam8
572,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
542,17,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
147,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0
432,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
348,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
325,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
403,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
123,15,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
514,17,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0
96,18,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
143,15,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0
239,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
473,15,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
97,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
371,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0
324,13,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
279,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0
293,9,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0
593,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
122,16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
183,7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
202,13,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
323,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
246,18,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
497,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
522,11,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0
535,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
422,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
539,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
400,19,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
125,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
438,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
425,7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
