model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
me5_tur_urd,"['tur_Latn', 'urd_Arab']",deu_Latn,Step1,{'deu_Latn': 0.69},0.927781581878662,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",deu_Latn,Step50+sbeam8,{'deu_Latn': 0.67},0.9313411712646484,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",ydd_Hebr,Base,"{'urd_Arab': 0.37, 'tur_Latn': 0.34, 'eng_Latn': 0.1}",0.8808702230453491,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",ydd_Hebr,Step1,"{'urd_Arab': 0.66, 'arb_Arab': 0.07, 'tur_Latn': 0.1, 'eng_Latn': 0.07}",0.8631976842880249,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",ydd_Hebr,Step50+sbeam8,"{'urd_Arab': 0.73, 'arb_Arab': 0.08}",0.8208776712417603,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",heb_Hebr,Base,"{'urd_Arab': 0.32, 'arb_Arab': 0.14, 'tur_Latn': 0.3}",0.8794872760772705,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",heb_Hebr,Step1,"{'arb_Arab': 0.23, 'urd_Arab': 0.29, 'tur_Latn': 0.21}",0.8650762438774109,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",heb_Hebr,Step50+sbeam8,"{'arb_Arab': 0.25, 'urd_Arab': 0.29, 'eng_Latn': 0.06, 'tur_Latn': 0.18}",0.8530698418617249,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",arb_Arab,Base,{'arb_Arab': 0.87},0.9243868589401244,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",arb_Arab,Step1,{'arb_Arab': 0.85},0.9608653783798218,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",arb_Arab,Step50+sbeam8,"{'arb_Arab': 0.85, 'urd_Arab': 0.06}",0.9533790946006776,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",amh_Ethi,Base,"{'tur_Latn': 0.34, 'eng_Latn': 0.07, 'urd_Arab': 0.44}",0.8605462908744812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",amh_Ethi,Step1,"{'tur_Latn': 0.26, 'urd_Arab': 0.53, 'eng_Latn': 0.06}",0.8414797782897949,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",amh_Ethi,Step50+sbeam8,"{'urd_Arab': 0.59, 'tur_Latn': 0.22, 'eng_Latn': 0.07}",0.8634952306747437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",mlt_Latn,Base,"{'eng_Latn': 0.35, 'tur_Latn': 0.49}",0.9030984044075012,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",mlt_Latn,Step1,"{'tur_Latn': 0.52, 'eng_Latn': 0.32}",0.900870442390442,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.33, 'tur_Latn': 0.53}",0.8899776339530945,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",hin_Deva,Base,"{'eng_Latn': 0.17, 'urd_Arab': 0.69}",0.9032766222953796,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",hin_Deva,Step1,"{'urd_Arab': 0.7, 'eng_Latn': 0.18}",0.9109600782394408,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",hin_Deva,Step50+sbeam8,"{'eng_Latn': 0.19, 'urd_Arab': 0.69}",0.9424554705619812,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",urd_Arab,Base,{'urd_Arab': 0.87},0.9574335217475892,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",urd_Arab,Step1,{'urd_Arab': 0.88},0.963182270526886,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",urd_Arab,Step50+sbeam8,{'urd_Arab': 0.87},0.9840680360794068,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",guj_Gujr,Base,{'urd_Arab': 0.85},0.896515429019928,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",guj_Gujr,Step1,{'urd_Arab': 0.87},0.8995563387870789,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",guj_Gujr,Step50+sbeam8,{'urd_Arab': 0.87},0.9254744648933412,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",sin_Sinh,Base,"{'urd_Arab': 0.8, 'eng_Latn': 0.07}",0.903121829032898,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",sin_Sinh,Step1,"{'urd_Arab': 0.83, 'eng_Latn': 0.06}",0.918598473072052,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
